Model=ballHalf, matchID=1651876, middleHostScore=1, middleCustomScore=0, middleScoreOdd=0.25, middleBigOdd=2.00, middleScoreOddOfVictory=0.82, middleScoreOddOfDefeat=1.06, middleBigOddOfVictory=0.92, middleBigOddOfDefeat=0.94, estValue=0, estProb=0.59
Model=ballHalf, matchID=1651877, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.00, middleBigOdd=0.75, middleScoreOddOfVictory=0.80, middleScoreOddOfDefeat=1.08, middleBigOddOfVictory=0.78, middleBigOddOfDefeat=1.08, estValue=0, estProb=0.68
Model=oddHalf, matchID=1651876, middleHostScore=1, middleCustomScore=0, middleScoreOdd=0.25, middleBigOdd=2.00, middleScoreOddOfVictory=0.82, middleScoreOddOfDefeat=1.06, middleBigOddOfVictory=0.92, middleBigOddOfDefeat=0.94, estValue=0, estProb=0.50
Model=oddHalf, matchID=1651877, middleHostScore=0, middleCustomScore=0, middleScoreOdd=-0.00, middleBigOdd=0.75, middleScoreOddOfVictory=0.80, middleScoreOddOfDefeat=1.08, middleBigOddOfVictory=0.78, middleBigOddOfDefeat=1.08, estValue=0, estProb=0.62
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.88, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.92, estValue=1, estProb=0.58
Model=ballHalf, matchID=1691242, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.00, middleBigOdd=2.25, middleScoreOddOfVictory=1.16, middleScoreOddOfDefeat=0.74, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.96, estValue=0, estProb=0.66
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.88, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.92, estValue=1, estProb=0.57
Model=oddHalf, matchID=1691242, middleHostScore=0, middleCustomScore=1, middleScoreOdd=-0.00, middleBigOdd=2.25, middleScoreOddOfVictory=1.16, middleScoreOddOfDefeat=0.74, middleBigOddOfVictory=0.90, middleBigOddOfDefeat=0.96, estValue=0, estProb=0.67
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.88, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.58
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.78, middleScoreOddOfDefeat=1.11, middleBigOddOfVictory=0.95, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.68
Model=oddHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.88, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.57
Model=oddHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.78, middleScoreOddOfDefeat=1.11, middleBigOddOfVictory=0.95, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.62
Model=ballHalf, matchID=1738108, middleHostScore=3, middleCustomScore=0, middleScoreOdd=-0.25, middleBigOdd=4.50, middleScoreOddOfVictory=0.96, middleScoreOddOfDefeat=0.88, middleBigOddOfVictory=1.00, middleBigOddOfDefeat=0.82, estValue=1, estProb=0.56
Model=ballHalf, matchID=1691242, middleHostScore=1, middleCustomScore=1, middleScoreOdd=0.25, middleBigOdd=3.25, middleScoreOddOfVictory=0.74, middleScoreOddOfDefeat=1.16, middleBigOddOfVictory=0.95, middleBigOddOfDefeat=0.91, estValue=0, estProb=0.68
